team #,match #,alliance color,starting level,preload,no show,moved forward,auto piece placed,double auto,ship cargo,level 1 cargo,level 2 cargo,level 3 cargo,ship hatches,level 1 hatches,level 2 hatches,level 3 hatches,hatches dropped,cargo dropped,hab attempt level,hab success,hab level reached,climb time,dead,defense,defended
190,29,1,2,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,3,2,3,9,0,0,0
1781,29,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,0,1,1
1690,29,1,2,1,0,1,1,1,2,0,2,2,0,1,2,2,0,2,0,0,0,0,0,0,0
836,30,0,1,1,0,1,1,0,0,2,0,0,1,2,0,0,2,0,3,2,3,6,0,0,0
1058,30,0,1,1,0,1,1,0,0,2,2,0,0,2,2,0,0,1,2,2,2,8,0,0,0
2265,30,0,2,1,0,1,0,0,3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
2265,30,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0
836,30,0,1,1,0,1,1,0,1,2,0,0,2,2,0,0,0,2,3,1,2,6,0,0,0
1058,30,0,1,1,0,1,1,0,0,2,0,0,0,2,2,1,0,0,3,2,3,7,0,0,0
449,30,1,1,1,0,1,1,0,1,2,0,0,2,2,0,0,0,0,2,2,2,6,0,0,0
5084,30,1,2,1,0,1,1,0,6,1,0,0,1,0,0,0,0,1,3,2,3,5,0,0,0
1923,30,1,1,1,0,1,1,0,1,0,2,2,0,2,2,2,0,0,3,2,3,3,0,0,0
5084,30,1,2,1,0,1,0,0,5,1,1,0,0,1,0,0,0,0,3,2,3,10,0,0,0
1923,30,1,1,1,0,1,0,0,0,1,0,1,0,3,2,2,2,0,0,0,0,0,0,0,0
5084,30,1,2,1,0,1,0,0,5,1,1,0,0,1,0,0,0,0,3,2,3,10,0,0,0
103,31,0,1,1,0,1,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,10,0,0,0
3381,31,0,1,2,0,1,0,0,3,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0
16,31,0,1,1,0,1,1,0,0,0,2,1,0,2,2,2,1,1,3,2,3,4,0,0,0
1676,31,1,1,1,0,1,1,0,0,1,0,0,1,2,2,2,0,0,1,2,1,0,0,0,0
1024,31,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3604,31,1,2,2,0,1,1,0,5,0,2,2,0,0,0,0,0,0,3,2,3,7,0,0,0
6806,32,0,1,2,0,1,1,0,5,0,0,0,0,0,0,0,0,0,2,2,2,6,0,0,0
3707,32,0,1,1,0,1,1,0,0,2,1,0,0,2,2,0,0,2,3,2,3,5,0,0,0
236,32,0,1,1,0,1,0,0,2,0,0,0,1,0,0,1,1,0,2,2,2,7,0,0,1
2500,32,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,2,0
3926,32,1,2,1,0,1,1,0,0,0,0,0,3,2,0,0,3,0,2,2,2,5,0,0,1
4481,32,1,2,1,0,1,1,0,0,0,0,0,0,2,3,2,2,0,3,1,0,0,0,0,0
1317,33,0,2,2,0,1,1,0,1,0,0,0,1,2,1,0,1,0,2,2,2,7,0,0,0
3044,33,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,7,0,0,0
5501,33,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,10,0,1,0
5567,33,1,1,1,0,0,0,0,0,0,0,0,1,1,2,2,0,0,2,2,2,9,0,0,1
88,33,1,2,1,0,1,1,0,1,1,2,1,0,2,0,0,0,0,2,2,2,3,0,0,0
4143,33,1,2,1,0,1,1,0,3,1,0,1,1,1,0,0,0,1,3,2,3,11,0,0,0
5811,34,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
7462,34,0,2,1,0,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,1,1
503,34,0,1,1,0,1,1,0,0,3,0,0,1,2,0,0,0,1,3,2,3,12,0,0,0
175,34,1,1,1,0,1,0,0,0,2,0,0,0,2,0,0,3,1,1,2,1,0,0,0,0
771,34,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,1,2,0
353,34,1,2,2,0,1,0,0,4,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0
868,35,0,2,1,0,1,1,0,0,2,1,2,0,2,2,2,3,0,3,2,3,5,0,0,0
1058,35,0,1,1,0,1,1,0,1,2,0,0,2,0,0,0,0,2,1,2,1,0,0,0,0
5943,35,0,2,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,2,0
1792,35,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,2,2,2,8,0,0,0
3618,35,1,1,2,0,1,1,0,4,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0
2337,35,1,2,1,0,1,1,0,3,2,0,0,0,2,0,0,1,0,3,2,3,4,0,0,1
191,36,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0
2265,36,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,2,1,1,0,0,0,0
51,36,0,2,1,0,1,1,0,5,1,0,0,1,0,0,0,0,1,3,2,3,9,0,0,0
3146,36,1,2,1,0,1,0,0,3,1,2,1,0,1,0,0,1,0,2,1,1,0,0,0,0
245,36,1,1,1,0,1,1,0,4,0,0,1,2,0,0,0,3,0,3,2,3,10,0,0,0
103,36,1,1,1,0,1,1,0,0,0,1,1,0,1,2,2,1,0,2,2,2,6,0,0,0
1676,37,0,2,1,0,1,0,0,3,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1923,37,0,1,1,0,1,1,0,0,1,0,0,0,2,2,2,1,0,3,1,1,0,0,0,0
1690,37,0,2,1,0,1,1,1,0,1,2,0,0,2,3,1,0,0,0,0,0,0,0,0,1
1690,37,0,2,1,0,1,1,1,6,0,1,0,0,0,2,1,0,1,3,2,3,7,0,0,0
1923,37,0,1,1,0,1,1,0,0,0,0,0,0,2,2,2,0,1,1,2,1,0,0,0,0
1676,37,0,2,1,0,1,1,0,0,3,1,1,1,0,0,0,0,1,2,1,1,0,0,0,0
2771,37,1,1,1,0,1,1,0,0,1,0,0,0,2,0,0,0,3,3,2,3,7,0,0,0
7719,37,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0
2791,37,1,2,1,0,1,1,0,1,0,2,2,0,1,2,2,0,0,2,1,1,0,0,0,0
2771,37,1,1,1,0,1,1,0,0,1,2,2,1,2,1,0,0,0,1,1,0,0,0,0,0
7719,37,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
2791,37,1,1,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,3,2,3,9,0,0,0
3542,38,0,1,1,0,1,1,0,3,0,0,0,2,2,2,0,0,0,3,2,3,10,0,0,1
3667,38,0,2,1,0,1,1,0,3,1,0,0,1,1,0,0,0,1,1,2,1,0,0,1,1
236,38,0,1,2,0,1,1,0,0,0,0,0,0,1,1,0,2,1,1,2,1,0,0,0,1
772,38,1,2,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,2,2,2,13,0,0,0
16,38,1,1,1,0,1,1,0,2,0,1,2,0,2,2,2,0,0,3,1,1,0,0,0,0
5567,38,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,8,0,2,0
503,39,0,1,1,0,1,1,0,4,1,0,0,1,0,0,0,0,2,3,1,1,0,0,0,1
7885,39,0,2,1,0,1,1,0,0,0,0,0,1,3,0,0,3,0,2,1,0,0,0,0,1
3624,39,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,2,1
5348,39,1,2,2,0,1,1,0,6,1,0,0,2,0,0,0,0,0,1,2,1,0,0,0,1
1218,39,1,2,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,3,2,3,5,0,2,2
3707,39,1,1,1,0,1,0,0,0,2,0,0,1,4,1,0,1,0,3,1,1,0,0,0,1
4381,40,0,1,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,3,2,3,17,0,0,1
6806,40,0,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
217,40,0,1,1,0,1,1,0,3,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,2
3604,40,1,2,2,0,1,1,0,6,3,0,0,0,0,0,0,0,3,2,1,1,0,0,0,1
836,40,1,1,1,0,1,1,1,0,2,0,0,3,1,0,0,0,0,3,2,3,10,0,0,1
771,40,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,0
449,41,0,1,1,0,1,1,0,1,2,0,0,2,2,0,0,0,0,3,1,1,0,0,0,0
